"Year","VT_df","Tt_df","df_name","variavel"
"2012-07",0.261971104859388,0.372335129216786,"df_regclim","wue"
"2012-08",0.24820746539782,0.373693883958794,"df_regclim","wue"
"2012-09",0.246279009810455,0.375052638700802,"df_regclim","wue"
"2012-10",0.231385121659881,0.376411393442802,"df_regclim","wue"
"2012-11",0.175853392793008,0.377770148184811,"df_regclim","wue"
"2012-12",0.213372378772377,0.379128902926819,"df_regclim","wue"
"2013-01",0.578324754352756,0.380487657668819,"df_regclim","wue"
"2013-02",0.858742461026209,0.381846412410827,"df_regclim","wue"
"2013-03",0.459154602822897,0.383205167152835,"df_regclim","wue"
"2013-04",0.769380663449931,0.384563921894836,"df_regclim","wue"
"2013-05",0.896754193190619,0.385922676636844,"df_regclim","wue"
"2013-06",0.645933241049414,0.387281431378852,"df_regclim","wue"
"2013-07",0.608978112593969,0.388640186120852,"df_regclim","wue"
"2013-08",0.492398308089451,0.38999894086286,"df_regclim","wue"
"2013-09",0.445664570301913,0.391357695604868,"df_regclim","wue"
"2013-10",0.373336864311621,0.392716450346869,"df_regclim","wue"
"2013-11",0.548202011697472,0.394075205088877,"df_regclim","wue"
"2013-12",0.429928947940435,0.395433959830885,"df_regclim","wue"
"2014-01",0.469858591183258,0.396792714572886,"df_regclim","wue"
"2014-02",0.83678386095552,0.398151469314894,"df_regclim","wue"
"2014-03",0.561288498892772,0.399510224056902,"df_regclim","wue"
"2014-04",0.758759190779745,0.400868978798902,"df_regclim","wue"
"2014-05",0.852190096887763,0.40222773354091,"df_regclim","wue"
"2014-06",0.632704582381216,0.403586488282918,"df_regclim","wue"
"2014-07",0.62380712750791,0.404945243024919,"df_regclim","wue"
"2014-08",0.499621742236656,0.406303997766927,"df_regclim","wue"
"2014-09",0.353284701740362,0.407662752508935,"df_regclim","wue"
"2014-10",0.560066494729924,0.409021507250935,"df_regclim","wue"
"2014-11",0.444656203467771,0.410380261992943,"df_regclim","wue"
"2014-12",0.655829919976777,0.411739016734952,"df_regclim","wue"
"2015-01",0.5906067992655,0.413097771476952,"df_regclim","wue"
"2015-02",0.296800910107567,0.41445652621896,"df_regclim","wue"
"2015-03",0.728121754704352,0.415815280960968,"df_regclim","wue"
"2015-04",0.509298192596248,0.417174035702969,"df_regclim","wue"
"2015-05",0.62582182221952,0.418532790444977,"df_regclim","wue"
"2015-06",0.467285164410523,0.419891545186985,"df_regclim","wue"
"2015-07",0.349181574746578,0.421250299928985,"df_regclim","wue"
"2015-08",0.219873811719387,0.422609054670993,"df_regclim","wue"
"2015-09",0.167665963358072,0.423967809413001,"df_regclim","wue"
"2015-10",0.237721761671866,0.425326564155002,"df_regclim","wue"
"2015-11",0.256184535987217,0.42668531889701,"df_regclim","wue"
"2015-12",0.192972056452116,0.428044073639018,"df_regclim","wue"
"2016-01",0.112723252246135,0.429402828381019,"df_regclim","wue"
"2016-02",0.317389821637494,0.430761583123027,"df_regclim","wue"
"2016-03",0.369283421759414,0.432120337865035,"df_regclim","wue"
"2016-04",0.355802023820208,0.433479092607035,"df_regclim","wue"
"2016-05",0.50070265052258,0.434837847349043,"df_regclim","wue"
"2016-06",0.517842894122664,0.436196602091051,"df_regclim","wue"
"2016-07",0.265767532633255,0.437555356833052,"df_regclim","wue"
